archivo,total,codigo,comentario,docstring,blanco
fase0/__init__.py,13,1,0,9,3
fase0/adlibrary.py,284,173,10,59,42
fase0/cognitive.py,444,256,7,111,70
fase0/config.py,166,73,57,16,20
fase0/dedup.py,68,38,0,16,14
fase0/fixtures/__init__.py,0,0,0,0,0
fase0/fixtures/generar.py,174,130,15,10,19
fase0/pipeline.py,450,321,30,46,53
fase0/report.py,343,253,11,26,53
fase0/schemas.py,299,131,35,80,53
fase0/store.py,246,189,4,28,25
fase0/tests/__init__.py,1,0,0,1,0
fase0/tests/apoyo.py,89,59,2,5,23
fase0/tests/test_adlibrary.py,179,131,0,14,34
fase0/tests/test_cognitive.py,307,182,3,75,47
fase0/tests/test_e2e_pipeline.py,234,142,1,45,46
fase0/tests/test_hallazgos_auditoria.py,260,140,0,71,49
fase0/tests/test_report.py,232,162,0,32,38
fase0/tests/test_schemas_y_dedup.py,157,88,0,35,34
scripts/inventario.py,203,133,7,34,29
scripts/manifiesto.py,139,74,19,19,27
scripts/modelo_costo_arq3.py,198,146,20,10,22
scripts/sensibilidad_infra_y_equipo.py,167,125,9,11,22
TOTAL,4653,2947,230,753,723

GUARD VERDE: los 23 archivos parsean y en todos total = codigo + comentario + docstring + blanco.
